Title,Score,Vote,Ranked,Popularity,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating
Love Live! The School Idol Movie,7.92,73596,717,1685,1,Finished Airing,"Jun 13, 2015",,"['Bandai Visual', 'Lantis', 'ASCII Media Works', 'Bushiroad', 'Graphinica', 'ILCA']","NIS America, Inc.",Sunrise,Original,1 hr. 39 min.,PG-13 - Teens 13 or older
Nekomonogatari: KuroNekomonogatari Black,7.92,334859,718,390,4,Finished Airing,"Dec 31, 2012",Fall 2012,"['Aniplex', 'Kodansha']",Aniplex of America,Shaft,Light novel,27 min. per ep.,R - 17+ (violence & profanity)
Overlord III,7.92,551974,719,186,13,Finished Airing,"Jul 10, 2018 to Oct 2, 2018",Summer 2018,"['AT-X', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']",Funimation,Madhouse,Light novel,23 min. per ep.,R - 17+ (violence & profanity)
Promare,7.92,134945,720,856,1,Finished Airing,"May 24, 2019",,"['TOHO animation', 'XFLAG']",GKIDS,Trigger,Original,1 hr. 51 min.,PG-13 - Teens 13 or older
BanG Dream! Movie: Poppin' Dream!BanG Dream! Poppin'Dream!,7.92,2392,721,6619,1,Finished Airing,"Jan 1, 2022",,['add some'],"None found, add some",SANZIGEN,Mixed media,1 hr. 10 min.,PG-13 - Teens 13 or older
Bungou Stray Dogs: Dead AppleBungo Stray Dogs: Dead Apple,7.92,154138,722,861,1,Finished Airing,"Mar 3, 2018",,['add some'],Crunchyroll,Bones,Manga,1 hr. 30 min.,R - 17+ (violence & profanity)
Full Metal Panic! The Second Raid,7.92,147606,723,907,13,Finished Airing,"Jul 14, 2005 to Oct 20, 2005",Summer 2005,"['WOWOW', 'Kadokawa Shoten', 'KlockWorx', 'Happinet Pictures']","ADV Films,       Funimation,       Kadokawa Pictures USA",Kyoto Animation,Light novel,24 min. per ep.,R - 17+ (violence & profanity)
Gochuumon wa Usagi desu ka? BloomIs the Order a Rabbit? Bloom,7.92,22306,724,2698,12,Finished Airing,"Oct 10, 2020 to Dec 26, 2020",Fall 2020,['add some'],Sentai Filmworks,Encourage Films,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older
Touhai Densetsu Akagi: Yami ni Maiorita TensaiAkagi,7.92,43996,725,1992,26,Finished Airing,"Oct 5, 2005 to Mar 29, 2006",Fall 2005,"['VAP', 'Nippon Television Network']","None found, add some",Madhouse,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Vampire Hunter D (2000)Vampire Hunter D: Bloodlust,7.92,94706,726,1203,1,Finished Airing,"Aug 25, 2000",,"['Movic', 'Filmlink International', 'animate']",Discotek Media,Madhouse,Light novel,1 hr. 42 min.,R - 17+ (violence & profanity)
Tamako Love Story,7.91,175408,727,592,1,Finished Airing,"Apr 26, 2014",,"['Pony Canyon', 'TBS']",Sentai Filmworks,Kyoto Animation,Original,1 hr. 23 min.,PG-13 - Teens 13 or older
Trigun: Badlands Rumble,7.91,75484,728,1565,1,Finished Airing,"Apr 2, 2010",,"['flying DOG', 'Sunny Side Up', 'Studio Jack', 'Shounen Gahousha']",Funimation,Madhouse,Manga,1 hr. 30 min.,PG-13 - Teens 13 or older
Undead Girl Murder FarceUndead Murder Farce,7.91,51465,729,1700,13,Finished Airing,"Jul 6, 2023 to Sep 28, 2023",Summer 2023,"['Dentsu', 'Kodansha', 'Fuji TV', 'KlockWorx', 'BS Fuji', 'Crunchyroll', 'Tohan Corporation', 'NetEase']","None found, add some",Lapin Track,Novel,22 min. per ep.,R - 17+ (violence & profanity)
Yakitate!! Japan,7.91,41076,730,2061,69,Finished Airing,"Oct 12, 2004 to Mar 14, 2006",Fall 2004,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",Nozomi Entertainment,Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Yuru Yuri San☆Hai!,7.91,65149,731,1735,12,Finished Airing,"Oct 6, 2015 to Dec 22, 2015",Fall 2015,"['Sotsu', 'Pony Canyon']","None found, add some",TYO Animations,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Zetsuen no TempestBlast of Tempest,7.91,259622,732,356,24,Finished Airing,"Oct 5, 2012 to Mar 29, 2013",Fall 2012,"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System', 'Yahoo! Japan']",Aniplex of America,Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Kingdom,7.91,73314,733,1111,38,Finished Airing,"Jun 4, 2012 to Feb 25, 2013",Summer 2012,"['NHK', 'Sogo Vision']",Funimation,Pierrot,Manga,25 min. per ep.,R - 17+ (violence & profanity)
Kuuchuu BurankoWelcome to Irabu's Office,7.91,25053,734,2127,11,Finished Airing,"Oct 15, 2009 to Dec 24, 2009",Fall 2009,"['Dentsu', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment', 'Bungeishunjuu']","None found, add some",Toei Animation,Novel,23 min. per ep.,R - 17+ (violence & profanity)
Meitantei Conan OVA 09: 10-nengo no StrangerDetective Conan OVA 09: The Stranger in 10 Years...,7.91,10937,735,4657,1,Finished Airing,"Jun 17, 2009",,['add some'],"None found, add some",TMS Entertainment,Manga,22 min.,PG-13 - Teens 13 or older
Overlord,7.91,931364,736,67,13,Finished Airing,"Jul 7, 2015 to Sep 29, 2015",Summer 2015,"['AT-X', 'Grooove', 'Hakuhodo DY Music & Pictures', 'Kadokawa']",Funimation,Madhouse,Light novel,24 min. per ep.,R - 17+ (violence & profanity)
Plastic Memories,7.91,467236,737,166,13,Finished Airing,"Apr 5, 2015 to Jun 28, 2015",Spring 2015,"['Aniplex', 'Movic', 'AT-X', 'ASCII Media Works', 'Bushiroad', 'MAGES.', 'Asahi Broadcasting', 'BS11']",Aniplex of America,Doga Kobo,Original,24 min. per ep.,PG-13 - Teens 13 or older
City Hunter,7.91,23510,738,2339,51,Finished Airing,"Apr 6, 1987 to Mar 28, 1988",Spring 1987,['Yomiuri Telecasting'],"ADV Films,       Discotek Media",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Code Geass: Fukkatsu no LelouchCode Geass: Lelouch of the Re;surrection,7.91,139343,739,750,1,Finished Airing,"Feb 9, 2019",,['Showgate'],Funimation,Sunrise,Original,1 hr. 52 min.,R - 17+ (violence & profanity)
Darker than Black: Kuro no Keiyakusha GaidenDarker Than Black: Gemini of the Meteor OVAs,7.91,141701,740,920,4,Finished Airing,"Jan 27, 2010 to Jul 21, 2010",,['Square Enix'],Funimation,Bones,Original,24 min. per ep.,R - 17+ (violence & profanity)
Eyeshield 21,7.91,88060,741,1285,145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008",Spring 2005,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']","VIZ Media,       Sentai Filmworks",Gallop,Manga,23 min. per ep.,PG-13 - Teens 13 or older
BanG Dream! Film Live 2nd Stage,7.90,1934,742,7236,1,Finished Airing,"Aug 20, 2021",,['add some'],"None found, add some",SANZIGEN,Mixed media,1 hr. 44 min.,PG-13 - Teens 13 or older
Bishoujo Senshi Sailor Moon SSailor Moon S,7.90,77273,743,1537,38,Finished Airing,"Mar 19, 1994 to Feb 25, 1995",Spring 1994,"['TV Asahi', 'Toei Advertising']","VIZ Media,       Geneon Entertainment USA",Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Date A Live II: Kurumi Star Festival,7.90,110627,744,1281,1,Finished Airing,"Dec 8, 2014",,['add some'],Funimation,Production IMS,Light novel,29 min.,PG-13 - Teens 13 or older
Ergo Proxy,7.90,236558,745,319,23,Finished Airing,"Feb 25, 2006 to Aug 12, 2006",Winter 2006,"['Geneon Universal Entertainment', 'WOWOW', 'Rondo Robe', 'Geneon Entertainment USA']",Funimation,Manglobe,Original,25 min. per ep.,R - 17+ (violence & profanity)
Final Fantasy VII: Advent Children Complete,7.90,82272,746,1662,1,Finished Airing,"Apr 16, 2009",,['Square Enix'],"None found, add some",Square Enix Visual Works,Game,2 hr. 6 min.,PG-13 - Teens 13 or older
Gakuen BabysittersSchool Babysitters,7.90,167593,747,689,12,Finished Airing,"Jan 7, 2018 to Mar 25, 2018",Winter 2018,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Hakusensha', 'Banpresto', 'Marui Group']","None found, add some",Brain's Base,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Ginga Sengoku Gunyuuden RaiGalaxy Warring State Chronicle Rai,7.90,5108,748,5260,52,Finished Airing,"Apr 8, 1994 to Mar 31, 1995",Spring 1994,"['TV Tokyo', 'SoftX']",Enoki Films,E&G Films,Manga,25 min. per ep.,PG-13 - Teens 13 or older
Hanasaku IrohaHanasaku Iroha: Blossoms for Tomorrow,7.90,128080,749,699,26,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",Spring 2011,"['Bandai Visual', 'Sotsu', 'Yomiuri Telecasting', 'Lantis', 'Pony Canyon', 'Showgate', 'Infinite']","NIS America, Inc.",P.A. Works,Original,24 min. per ep.,PG-13 - Teens 13 or older
Hidamari Sketch x ☆☆☆,7.90,12971,750,4114,12,Finished Airing,"Jan 8, 2010 to Mar 26, 2010",Winter 2010,"['Aniplex', 'Lantis', 'TBS', 'Movic', 'Houbunsha']",Sentai Filmworks,Shaft,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older
Initial D Third Stage,7.90,110385,751,1313,1,Finished Airing,"Jan 13, 2001",,['OB Planning'],Funimation,Studio Deen,Manga,1 hr. 44 min.,PG-13 - Teens 13 or older
Jormungand: Perfect OrderJormungand Season 2: Perfect Order,7.90,103768,752,1217,12,Finished Airing,"Oct 10, 2012 to Dec 26, 2012",Fall 2012,"['Geneon Universal Entertainment', 'Shogakukan-Shueisha Productions']",Funimation,White Fox,Manga,24 min. per ep.,R+ - Mild Nudity
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,7.90,11158,753,4593,1,Finished Airing,"Feb 4, 2013",,['Shueisha'],"None found, add some",Tatsunoko Production,Manga,27 min.,PG-13 - Teens 13 or older
Vanitas no KarteThe Case Study of Vanitas,7.90,208987,754,415,12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021",Summer 2021,"['Aniplex', 'Square Enix', 'Hakuhodo DY Music & Pictures', 'Contents Seed']",Funimation,Bones,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Yagate Kimi ni NaruBloom Into You,7.90,139416,755,686,13,Finished Airing,"Oct 5, 2018 to Dec 28, 2018",Fall 2018,"['AT-X', 'Sony Music Communications', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa']",Sentai Filmworks,TROYCA,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Yuri!!! on Ice,7.90,524479,756,189,12,Finished Airing,"Oct 6, 2016 to Dec 22, 2016",Fall 2016,"['Dentsu', 'TV Asahi', 'Movic', 'Avex Pictures', 'CIC', 'Cygames']","Funimation,       Crunchyroll",MAPPA,Original,23 min. per ep.,PG-13 - Teens 13 or older
Yuzuki-san Chi no Yonkyoudai.The Yuzuki Family's Four Sons,7.90,12079,757,3423,12,Finished Airing,"Oct 5, 2023 to Dec 21, 2023",Fall 2023,"['Pierrot', 'Movic', 'AT-X', 'Tokyo MX', 'Avex Pictures', 'BS11', 'Shogakukan', 'U-NEXT', 'A-Sketch', 'Bit grooove promotion']","None found, add some",Shuka,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Kidou Senshi Zeta GundamMobile Suit Zeta Gundam,7.90,37588,758,2438,50,Finished Airing,"Mar 2, 1985 to Feb 22, 1986",Spring 1985,"['Sotsu', 'Nagoya Broadcasting Network']","Nozomi Entertainment,       Bandai Entertainment",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older
Macross,7.90,36252,759,1916,36,Finished Airing,"Oct 3, 1982 to Jun 26, 1983",Fall 1982,"['Artland', 'Mainichi Broadcasting System', 'Studio Nue', 'Big West', 'Anime Friend']","ADV Films,       AnimEigo,       Harmony Gold",Tatsunoko Production,Original,25 min. per ep.,PG-13 - Teens 13 or older
Ore Monogatari!!My Love Story!!,7.90,319041,760,299,24,Finished Airing,"Apr 9, 2015 to Sep 24, 2015",Spring 2015,"['VAP', 'Nippon Television Network', 'Shueisha']",Sentai Filmworks,Madhouse,Manga,22 min. per ep.,PG-13 - Teens 13 or older
Shirokuma CafePolar Bear Cafe,7.90,23189,761,2109,50,Finished Airing,"Apr 5, 2012 to Mar 28, 2013",Spring 2012,"['TV Tokyo', 'Avex Entertainment']","None found, add some",Pierrot,Manga,24 min. per ep.,G - All Ages
Karigurashi no ArriettyThe Secret World of Arrietty,7.89,216026,762,669,1,Finished Airing,"Jul 17, 2010",,['add some'],Disney Platform Distribution,Studio Ghibli,Novel,1 hr. 34 min.,G - All Ages
"Komi-san wa, Comyushou desu.Komi Can't Communicate",7.89,450800,763,196,12,Finished Airing,"Oct 7, 2021 to Dec 23, 2021",Fall 2021,"['TV Tokyo', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Half H.P Studio', 'Nippon Columbia']","None found, add some",OLM,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Les Misérables: Shoujo Cosette,7.89,9315,764,4026,52,Finished Airing,"Jan 7, 2007 to Dec 30, 2007",Winter 2007,['add some'],"None found, add some",Nippon Animation,Novel,24 min. per ep.,G - All Ages
Lupin III (2015)Lupin the Third Part 4,7.89,22452,765,2519,24,Finished Airing,"Oct 2, 2015 to Mar 18, 2016",Fall 2015,"['TMS Entertainment', 'TMS Music']",Discotek Media,Telecom Animation Film,Manga,25 min. per ep.,PG-13 - Teens 13 or older
Macross FMacross Frontier,7.89,66662,766,1529,25,Finished Airing,"Apr 4, 2008 to Sep 26, 2008",Spring 2008,"['Bandai Visual', 'Mainichi Broadcasting System', 'Big West']",Nozomi Entertainment,Satelight,Original,24 min. per ep.,PG-13 - Teens 13 or older
One Piece Film: Gold,7.89,127786,767,1107,1,Finished Airing,"Jul 23, 2016",,['add some'],Funimation,Toei Animation,Manga,2 hr.,PG-13 - Teens 13 or older
Saiunkoku MonogatariThe Story of Saiunkoku,7.89,35086,768,2085,39,Finished Airing,"Apr 8, 2006 to Feb 24, 2007",Spring 2006,"['NHK', 'Sogo Vision']","Funimation,       Geneon Entertainment USA",Madhouse,Light novel,25 min. per ep.,PG-13 - Teens 13 or older
Sakigake!! Cromartie KoukouCromartie High School,7.89,53882,769,1598,26,Finished Airing,"Oct 3, 2003 to Mar 26, 2004",Fall 2003,['TV Tokyo Music'],"ADV Films,       Sentai Filmworks,       Discotek Media",Production I.G,Manga,11 min. per ep.,PG-13 - Teens 13 or older
School Rumble,7.89,148464,770,712,26,Finished Airing,"Oct 5, 2004 to Mar 29, 2005",Fall 2004,"['TV Tokyo', 'Sotsu', 'Marvelous Entertainment', 'Starchild Records', 'Media Factory', 'DAX Production', 'Studio Jack']",Funimation,Studio Comet,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Aria the Avvenire,7.89,10840,772,4137,3,Finished Airing,"Sep 26, 2015",,['Shochiku'],Nozomi Entertainment,TYO Animations,Manga,21 min. per ep.,G - All Ages
Boku no Hero Academia 4th SeasonMy Hero Academia Season 4,7.89,1056944,773,55,25,Finished Airing,"Oct 12, 2019 to Apr 4, 2020",Fall 2019,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Funimation,Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Densetsu Kyojin Ideon: Hatsudou-henThe Ideon: Be Invoked,7.89,3642,774,6269,1,Finished Airing,"Jul 10, 1982",,['add some'],Maiden Japan,Sunrise,Original,1 hr. 38 min.,R+ - Mild Nudity
Drifters,7.89,269662,775,379,12,Finished Airing,"Oct 7, 2016 to Dec 23, 2016",Fall 2016,['NBCUniversal Entertainment Japan'],Funimation,Hoods Entertainment,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Free! Eternal Summer: Kindan no All Hard!,7.89,45261,776,2120,1,Finished Airing,"Mar 18, 2015",,['add some'],Funimation,"Kyoto Animation,       Animation Do",Original,23 min.,PG-13 - Teens 13 or older
Heartcatch Precure!,7.89,11879,777,3862,49,Finished Airing,"Feb 7, 2010 to Jan 30, 2011",Winter 2010,['add some'],"None found, add some",Toei Animation,Original,24 min. per ep.,G - All Ages
Hug tto! Precure,7.89,5169,778,5162,49,Finished Airing,"Feb 4, 2018 to Jan 27, 2019",Winter 2018,"['Asahi Broadcasting', 'ABC Animation', 'Echoes']","None found, add some",Toei Animation,Original,24 min. per ep.,G - All Ages
Ie Naki Ko RemySans Famille,7.89,8659,779,4726,23,Finished Airing,"Sep 1, 1996 to Mar 23, 1997",Fall 1996,['Fuji TV'],"None found, add some",Nippon Animation,Novel,23 min. per ep.,G - All Ages
Tennis no Oujisama: Zenkoku Taikai-henThe Prince of Tennis: National Championship Chapter,7.89,25192,780,3170,13,Finished Airing,"Mar 24, 2006 to Mar 23, 2007",,"['Production I.G', 'Shueisha']","None found, add some",M.S.C,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Ushio to Tora (TV) 2nd SeasonUshio & Tora (2016),7.89,65548,781,1666,13,Finished Airing,"Apr 1, 2016 to Jun 24, 2016",Spring 2016,"['Sotsu', 'Showgate', 'Tokuma Japan Communications', 'Daiichi Shokai']",Sentai Filmworks,"MAPPA,       Studio VOLN",Manga,24 min. per ep.,PG-13 - Teens 13 or older
Zoku Sayonara Zetsubou Sensei,7.89,59159,782,1654,13,Finished Airing,"Jan 6, 2008 to Mar 30, 2008",Winter 2008,['Starchild Records'],"None found, add some",Shaft,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Space☆DandySpace Dandy,7.88,151140,783,654,13,Finished Airing,"Jan 5, 2014 to Mar 27, 2014",Winter 2014,"['Bandai Visual', 'flying DOG', 'Bandai Namco Entertainment']",Funimation,Bones,Original,24 min. per ep.,PG-13 - Teens 13 or older
Summer Ghost,7.88,36372,784,2014,1,Finished Airing,"Nov 12, 2021",,"['Avex Pictures', 'Flagship Line']",GKIDS,Flat Studio,Mixed media,39 min.,PG-13 - Teens 13 or older
Tennis no Oujisama: Zenkoku Taikai-hen - SemifinalThe Prince of Tennis: The National Tournament Semifinals,7.88,20417,785,3591,6,Finished Airing,"Jun 22, 2007 to Jan 25, 2008",,['Production I.G'],"None found, add some",M.S.C,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Tonikaku KawaiiTONIKAWA: Over The Moon For You,7.88,409776,786,264,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,"['Shogakukan-Shueisha Productions', 'Warner Bros. Japan', 'KlockWorx', 'Shogakukan', 'Crunchyroll']","None found, add some",Seven Arcs,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Tunshi XingkongSwallowed Star,7.88,2656,787,7174,26,Finished Airing,"Nov 29, 2020 to May 16, 2021",,"['Tencent Animation & Comics', 'Tencent Penguin Pictures']","None found, add some",Sparkly Key Animation Studio,Novel,21 min. per ep.,PG-13 - Teens 13 or older
Kidou Senshi Gundam: Suisei no MajoMobile Suit Gundam: The Witch from Mercury,7.88,71582,788,1532,12,Finished Airing,"Oct 2, 2022 to Jan 8, 2023",Fall 2022,"['Sotsu', 'Mainichi Broadcasting System', 'Bandai Namco Filmworks']","None found, add some",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity)
Kotonoha no NiwaThe Garden of Words,7.88,512606,789,200,1,Finished Airing,"May 31, 2013",,"['The Answer Studio', 'TOHO animation']",Sentai Filmworks,CoMix Wave Films,Original,46 min.,PG-13 - Teens 13 or older
Megalo Box,7.88,267503,790,427,13,Finished Airing,"Apr 6, 2018 to Jun 29, 2018",Spring 2018,"['TBS', 'Kodansha', 'Bandai Namco Arts', 'TMS Music']",VIZ Media,TMS Entertainment,Original,24 min. per ep.,R - 17+ (violence & profanity)
Meitantei Conan Movie 02: 14-banme no TargetCase Closed Movie 02: The Fourteenth Target,7.88,38737,791,2678,1,Finished Airing,"Apr 18, 1998",,['add some'],Funimation,TMS Entertainment,Manga,1 hr. 39 min.,PG-13 - Teens 13 or older
Ookiku FurikabutteBig Windup!,7.88,40668,792,2029,25,Finished Airing,"Apr 13, 2007 to Sep 28, 2007",Spring 2007,"['Aniplex', 'Mainichi Broadcasting System', 'TBS', 'Kodansha', 'Movic', 'Rakuonsha']",Funimation,A-1 Pictures,Manga,25 min. per ep.,PG-13 - Teens 13 or older
Quanzhi Gaoshou 2The King's Avatar 2,7.88,43093,793,1816,12,Finished Airing,"Sep 25, 2020 to Dec 4, 2020",,"['Tencent Penguin Pictures', 'China Literature Limited', 'Colored Pencil Animation Japan']","None found, add some",Colored Pencil Animation,Novel,24 min. per ep.,PG-13 - Teens 13 or older
Shijou Saikyou no Deshi Kenichi OVAKenIchi: The Mightiest Disciple OVA,7.88,28532,794,2837,11,Finished Airing,"Mar 14, 2012 to May 16, 2014",,['add some'],"None found, add some",Brain's Base,Manga,27 min. per ep.,R+ - Mild Nudity
Shingeki no Kyojin Movie 2: Jiyuu no TsubasaAttack on Titan: Wings of Freedom,7.89,50463,771,1693,1,Finished Airing,"Jun 27, 2015",,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",Funimation,Wit Studio,Manga,2 hr.,R - 17+ (violence & profanity)
Shingeki no Kyojin OVAAttack on Titan OAD,7.88,267793,795,477,3,Finished Airing,"Dec 9, 2013 to Aug 8, 2014",,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",Funimation,Wit Studio,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Berserk: Ougon Jidai-hen - Memorial EditionBerserk: The Golden Age Arc - Memorial Edition,7.88,15646,796,3555,13,Finished Airing,"Oct 2, 2022 to Dec 25, 2022",Fall 2022,"['Aniplex', 'VAP', 'Hakusensha', 'Movic', 'Yahoo! Japan', 'Good Smile Company', 'Beyond C.', 'KDDI', 'Rialto Entertainment']","None found, add some",Studio 4°C,Manga,25 min. per ep.,R+ - Mild Nudity
Code Geass: Hangyaku no Lelouch I - KoudouCode Geass: Lelouch of the Rebellion I - Initiation,7.88,38097,797,2025,1,Finished Airing,"Oct 21, 2017",,['add some'],Funimation,Sunrise,Original,2 hr. 15 min.,R+ - Mild Nudity
Death Billiards,7.88,136252,798,988,1,Finished Airing,"Mar 2, 2013",,['add some'],Funimation,Madhouse,Original,25 min.,R - 17+ (violence & profanity)
ef: A Tale of Memories.ef - a tale of memories.,7.88,107381,799,925,12,Finished Airing,"Oct 7, 2007 to Dec 23, 2007",Fall 2007,['Rondo Robe'],Sentai Filmworks,Shaft,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older
Golden Kamuy,7.88,158888,800,594,12,Finished Airing,"Apr 9, 2018 to Jun 25, 2018",Spring 2018,"['Magic Capsule', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'Good Smile Company', 'Sammy', 'Shueisha', 'JR East Marketing & Communications', 'Twin Engine']",Funimation,Geno Studio,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Higurashi no Naku Koro niHigurashi: When They Cry,7.88,391108,801,228,26,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,"['Geneon Universal Entertainment', 'Frontier Works', 'Sotsu', 'DAX Production']","Sentai Filmworks,       Geneon Entertainment USA",Studio Deen,Visual novel,24 min. per ep.,R - 17+ (violence & profanity)
Hoozuki no Reitetsu 2nd SeasonHozuki's Coolheadedness 2,7.88,18705,802,3146,13,Finished Airing,"Oct 8, 2017 to Dec 31, 2017",Fall 2017,"['Kodansha', 'King Records']",Sentai Filmworks,Studio Deen,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Jigoku Shoujo FutakomoriHell Girl: Two Mirrors,7.88,67561,803,1419,26,Finished Airing,"Oct 7, 2006 to Apr 7, 2007",Fall 2006,"['Aniplex', 'SKY Perfect Well Think']",Sentai Filmworks,Studio Deen,Original,25 min. per ep.,R - 17+ (violence & profanity)
JoJo no Kimyou na Bouken (TV)JoJo's Bizarre Adventure (2012),7.88,1051446,804,58,26,Finished Airing,"Oct 6, 2012 to Apr 6, 2013",Fall 2012,"['Yomiko Advertising', 'Warner Bros. Japan', 'KlockWorx', 'Medicos Entertainment', 'Shueisha']","VIZ Media,       Warner Bros. Pictures",David Production,Manga,24 min. per ep.,R - 17+ (violence & profanity)
Berserk: Ougon Jidai-hen II - Doldrey KouryakuBerserk: The Golden Age Arc II - The Battle for Doldrey,7.87,136083,805,1120,1,Finished Airing,"Jun 23, 2012",,"['VAP', 'Hakusensha', 'Movic', 'Yahoo! Japan', 'Lucent Pictures Entertainment', 'Good Smile Company', 'Beyond C.', 'KDDI']",VIZ Media,Studio 4°C,Manga,1 hr. 32 min.,R+ - Mild Nudity
Boku no Hero AcademiaMy Hero Academia,7.87,2032547,806,6,13,Finished Airing,"Apr 3, 2016 to Jun 26, 2016",Spring 2016,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha']",Funimation,Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Carnival Phantasm,7.87,95673,807,1190,12,Finished Airing,"Aug 14, 2011 to Dec 31, 2011",,"['Bandai Visual', 'Notes']","None found, add some",Lerche,Manga,14 min. per ep.,PG-13 - Teens 13 or older
"Cool Doji DanshiPlay It Cool, Guys",7.87,24693,808,2208,24,Finished Airing,"Oct 11, 2022 to Mar 28, 2023",Fall 2022,"['TV Tokyo', 'AT-X', 'Magic Capsule', 'Avex Pictures']","None found, add some",Pierrot,Web manga,11 min. per ep.,PG-13 - Teens 13 or older
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no TaikaiLegend of the Galactic Heroes: My Conquest is the Sea of Stars,7.87,22122,809,3492,1,Finished Airing,"Feb 6, 1988",,"['Artland', 'Madhouse', 'Kitty Films', 'Tokuma Shoten', 'Tokuma Japan Communications']",Sentai Filmworks,Kitty Film Mitaka Studio,Novel,59 min.,R+ - Mild Nudity
Terra e... (TV),7.87,18529,810,2720,24,Finished Airing,"Apr 7, 2007 to Sep 22, 2007",Spring 2007,"['Aniplex', 'Mainichi Broadcasting System', 'SKY Perfect Well Think']",Bandai Entertainment,"Tokyo Kids,       Minami Machi Bugyousho",Manga,24 min. per ep.,PG-13 - Teens 13 or older
Zan Sayonara Zetsubou Sensei,7.87,40714,811,1935,13,Finished Airing,"Jul 5, 2009 to Sep 27, 2009",Summer 2009,['add some'],"None found, add some",Shaft,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Kami nomi zo Shiru Sekai IIThe World God Only Knows II,7.87,238775,812,584,12,Finished Airing,"Apr 12, 2011 to Jun 28, 2011",Spring 2011,"['TV Tokyo', 'Geneon Universal Entertainment']",Sentai Filmworks,Manglobe,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Kidou Senshi Gundam: Suisei no Majo - PrologueMobile Suit Gundam: The Witch from Mercury - Prologue,7.87,29301,813,3262,1,Finished Airing,"Jul 14, 2022",,"['Sotsu', 'Mainichi Broadcasting System', 'Bandai Namco Filmworks']","None found, add some",Sunrise,Original,24 min.,R - 17+ (violence & profanity)
Machikado Mazoku: 2-choumeThe Demon Girl Next Door 2,7.87,23048,814,2625,12,Finished Airing,"Apr 8, 2022 to Jul 1, 2022",Spring 2022,"['Pony Canyon', 'Houbunsha', 'Medicos Entertainment', 'BS11', 'RAY', 'Nichion']",Sentai Filmworks,J.C.Staff,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older
