Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Demographics,Serialization,Author
"Goodbye, In-Law!",7.42,530,3579,11556,"1,377",13,8,81,Finished,"Sep  17, 2018 to Apr  20, 2020","['Comedy', 'Drama', 'Romance']",[],[],Daum Webtoon,Gyogyo Park (Story & Art)
Mimizuku to Yoru no Ou,7.42,260,3580,16244,832,10,1,10,Finished,"Feb  1, 2007",[],[],[],None,"Kougyoku, Iduki (Story), Isono, Hiroo (Art)"
Shingeki no Kyojin: Before the Fall (Attack on Titan: Before the Fall),7.42,14678,3581,402,"40,817",500,17,73,Finished,"Aug  26, 2013 to Mar  26, 2019","['Action', 'Drama', 'Fantasy', 'Supernatural']",[],['Shounen'],Shounen Sirius,"Shiki, Satoshi (Art), Suzukaze, Ryou (Story)"
Boku Girl,7.42,21327,3582,361,"45,260","1,442",11,107,Finished,"Dec  12, 2013 to May  12, 2016","['Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Magical Sex Shift', 'School']",['Seinen'],Young Jump,"Sugito, Akira (Story & Art)"
Date A Live: Tooka Dead End,7.42,389,3583,9104,"1,893",53,3,11,Finished,"Nov  26, 2013 to Oct  25, 2014","['Romance', 'Sci-Fi']","['Mecha', 'School']",['Shounen'],Shounen Ace,"Inui, Sekihiko (Art), Tachibana, Koushi (Story)"
Hana wo Meshimase (Please Love Flowers),7.42,2471,3584,4137,"4,771",39,1,4,Finished,"Oct  10, 2013 to Apr  10, 2014",[],[],['Shoujo'],The Dessert,"Iwashita, Keiko (Story & Art)"
Levius,7.42,1926,3585,2267,"8,584",97,3,18,Finished,"Dec  25, 2012 to Sep  25, 2014",[],"['Combat Sports', 'Martial Arts', 'Mecha']",['Seinen'],Ikki,"Nakata, Haruhisa (Story & Art)"
Majo no Geboku to Maou no Tsuno (The Witch's Servant and the Demon Lord's Horns),7.42,418,3586,8468,"2,084",25,16,94,Finished,"Apr  12, 2014 to Dec  10, 2021","['Comedy', 'Fantasy']",[],['Shounen'],Shounen Gangan,Mochi (Story & Art)
Mahou Shoujo Madoka★Magica: Homura Revenge! (Puella Magi Madoka★Magica: Homura's Revenge),7.42,1230,3587,5495,"3,473",39,2,9,Finished,"Jun  8, 2012 to Oct  10, 2013",[],[],[],Manga Time Kirara☆Magica,"Masugitsune/Kawazu-ku (Story & Art), Magica Quartet (Story)"
Shin Seitokai no Ichizon,7.41,301,3588,14813,965,4,3,13,Finished,"Jan  9, 2013 to Feb  8, 2014",[],[],['Shounen'],Dragon Age,"Aoi, Sekina (Story), Suemitsu, Dicca (Art)"
"Nee, Dare ni mo Himitsu da yo (Don't say to anyone about us.)",7.41,1893,3589,5171,"3,721",6,1,5,Finished,"Mar  5, 2011 to Dec  24, 2012",[],[],['Shoujo'],The Margaret,"Shiiba, Nana (Story & Art)"
Tsubasa to Hotaru,7.41,3792,3590,1381,"13,765",122,11,55,Finished,"Aug  3, 2013 to Nov  2, 2017","['Comedy', 'Romance']",[],['Shoujo'],Ribon Magazine,"Haruta, Nana (Story & Art)"
Ao Haru Ride: Special Booklet,7.41,1993,3591,4160,"4,746",18,Unknown,1,Finished,"May  23, 2014","['Romance', 'Slice of Life']",[],['Shoujo'],None,"Sakisaka, Io (Story & Art)"
Psyche Matashitemo,7.41,2294,3592,2398,"8,168",56,15,142,Finished,"Jul  9, 2014 to Dec  26, 2018",[],[],['Shounen'],Shounen Sunday,"Fukuchi, Tsubasa (Story & Art)"
Kuramochi Youichi Special Bangai-hen: OutRun,7.41,314,3593,16806,792,9,Unknown,1,Finished,"Mar  17, 2014",[],[],[],None,"Terajima, Yuuji (Story & Art)"
Gekkan Shoujo Nozaki-kun Anthology,7.41,936,3594,5670,"3,350",11,1,16,Finished,"Aug  22, 2014","['Comedy', 'Romance']",[],[],None,"Tsubaki, Izumi (Story & Art), mikimaki (Story & Art), Kawakami, Masaki (Story & Art), Kuroha (Story & Art), namo (Story & Art), Minami, Toutarou (Story & Art), Mijinkouka (Story & Art), Asakura, Ryousuke (Story & Art), Nohara, Yuta (Story & Art), Namisaki, Yuka (Story & Art), Ichikawa, Dan (Story & Art), Konkichi (Story & Art), Akino, Kisara (Story & Art)"
Uchi no Maou Kamimasen yo,7.41,2183,3595,3709,"5,357",57,4,39,Finished,"Jul  3, 2014 to Nov  26, 2015","['Comedy', 'Slice of Life', 'Supernatural']",[],[],Gangan Online,Otousan (Story & Art)
Tori Kissa!,7.41,335,3596,13384,"1,120",13,7,46,Finished,"Oct  18, 2014 to Nov  17, 2017","['Comedy', 'Fantasy']",[],['Seinen'],Comic Ryu,"Nobuyoshi, Samurai (Story & Art)"
Grisaia no Meikyuu: Sanctuary Fellows,7.41,307,3597,10552,"1,565",15,1,5,Finished,"Dec  16, 2014 to Mar  17, 2015",[],[],[],Champion Cross,"Hirose, Shuu (Art), Front Wing (Story), Narumi, Eiji (Story)"
Kabushikigaisha Magi-Lumière (Magilumiere Magical Girls Inc.),7.41,1417,3634,2717,"7,295",50,Unknown,Unknown,Publishing,"Oct  20, 2021 to ?","['Action', 'Fantasy']","['Mahou Shoujo', 'Workplace']",['Shounen'],Shounen Jump+,"Aoki, Yuu (Art), Iwata, Sekka (Story)"
This Villainess Wants a Divorce!,7.41,3321,3635,2695,"7,364",60,6,118,Finished,"Dec  31, 2018 to Dec  4, 2021","['Fantasy', 'Romance']",[],[],KakaoPage,"Nokki (Story), AhBin (Art)"
Study Group,7.41,2247,3636,2801,"7,079",63,Unknown,Unknown,Publishing,"Jan  4, 2019 to ?",[],"['Delinquents', 'School']",[],Naver Webtoon,"Shin, Hyungwuk (Story), Ryu, Seungyeon (Art)"
Dream Away,7.41,214,3637,21815,502,7,Unknown,58,Finished,"Jun  17, 2019 to Sep  1, 2020","['Boys Love', 'Supernatural']",[],[],Lezhin Comics Webtoon,"Lee, Hana (Story & Art)"
Best Teacher Baek,7.41,886,3638,6386,"2,937",12,Unknown,Unknown,Publishing,"Oct  20, 2021 to ?","['Action', 'Fantasy']","['Martial Arts', 'Reincarnation']",[],Naver Webtoon,"Ganjjajang (Story), Oribori (Art)"
Becoming the Dark Hero's Daughter,7.41,584,3639,7640,"2,369",10,Unknown,Unknown,Publishing,"Jul  22, 2021 to ?",[],"['Isekai', 'Reincarnation']",[],KakaoPage,"Lisabel (Story), Pina (Art)"
Meikyuu no Ou (King of the Labyrinth),7.41,728,3640,13374,"1,123",1,Unknown,Unknown,Publishing,"Aug  9, 2021 to ?","['Action', 'Adventure', 'Fantasy']",[],[],Suiyoubi no Sirius,"Shienbis (Story), K9 (Art)"
Kyou mo Veranda de (On the Balcony Again Today),7.42,311,3510,10869,"1,502",6,Unknown,Unknown,Publishing,"Sep  15, 2022 to ?",[],[],['Seinen'],Morning,"Itokawa, Issei (Story & Art)"
The Golden Forest,7.41,154,3641,25472,368,3,Unknown,98,Finished,"Feb  1, 2021 to Apr  25, 2023","['Fantasy', 'Romance']",[],[],None,"Yoon, So-rie (Story), Ryuhwa (Art)"
Gals!,7.41,1668,3598,4900,"3,941",121,10,40,Finished,"Aug  1999 to Jul  15, 2002","['Comedy', 'Drama', 'Romance', 'Slice of Life']",[],['Shoujo'],Ribon Magazine,"Fujii, Mihona (Story & Art)"
Ningyo Series,7.41,2948,3599,2614,"7,586",95,3,16,Finished,Aug  1984 to Feb  1994,"['Horror', 'Romance', 'Supernatural']",[],['Shounen'],Shounen Sunday Super,"Takahashi, Rumiko (Story & Art)"
Enchanter,7.41,682,3600,7222,"2,537",31,19,74,Finished,"Aug  26, 2002 to Jan  26, 2009","['Action', 'Adventure', 'Fantasy', 'Romance', 'Ecchi']","['School', 'Super Power']",['Shounen'],Gangan Wing,"Kawachi, Izumi (Story & Art)"
Mawang Ilgi (Demon Diary),7.41,4130,3601,2643,"7,503",223,7,26,Finished,1999 to  2002,"['Action', 'Adventure', 'Boys Love', 'Comedy', 'Drama', 'Fantasy']",[],['Shoujo'],Wink,"Kara (Art), Lee, Ji Hyong (Story), Lee, Soome (Story), Lee, Yun-hee (Story)"
Gokkun! Pucho (Pixie Pop: Gokkun Pucho),7.41,2307,3602,4219,"4,651",95,3,15,Finished,"Mar  3, 2004 to Jun  3, 2005","['Comedy', 'Fantasy', 'Romance']",[],['Shoujo'],Nakayoshi,"Tooyama, Ema (Story & Art)"
Suppli,7.41,686,3603,6198,"3,031",52,10,57,Finished,"Oct  8, 2003 to Nov  7, 2009","['Romance', 'Slice of Life']",[],['Josei'],Feel Young,"Okazaki, Mari (Story & Art)"
Omae ga Sekai wo Kowashitai nara,7.41,2118,3604,3666,"5,417",74,3,17,Finished,1999 to  2000,"['Drama', 'Fantasy', 'Supernatural']","['Psychological', 'Vampire']",['Shoujo'],Kimi to Boku,"Fujiwara, Kaoru (Story & Art)"
Galaxy Angel 2nd (Galaxy Angel Beta),7.41,308,3605,18129,696,8,3,14,Finished,"Jul  26, 2004 to Sep  26, 2005","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",[],['Shounen'],Comic Rush,"Ootsuki, Yuuko (Story & Art)"
Psychometrer Eiji,7.41,1166,3606,4903,"3,937",37,25,213,Finished,"Apr  3, 1996 to Sep  13, 2000","['Drama', 'Mystery', 'Supernatural']",[],['Shounen'],Shounen Magazine (Weekly),"Kibayashi, Shin (Story), Asaki, Masashi (Art)"
Hyouryuu Kyoushitsu (The Drifting Classroom),7.41,6433,3607,777,"22,434",332,11,44,Finished,1972 to  1974,"['Horror', 'Mystery', 'Sci-Fi']",[],['Shounen'],Shounen Sunday,"Umezu, Kazuo (Story & Art)"
Dear Mine,7.41,1670,3608,5282,"3,629",28,4,22,Finished,Aug  2000 to Aug  2001,"['Comedy', 'Romance']",[],['Shoujo'],Hana to Yume,"Takao, Shigeru (Story & Art)"
Tales of the Abyss,7.41,747,3609,6762,"2,750",28,8,53,Finished,"Oct  27, 2005 to Nov  27, 2010","['Action', 'Adventure', 'Fantasy']",[],['Seinen'],Dengeki Maoh,"Rei (Art), Bandai-Namco (Story)"
Heads,7.41,4526,3610,1384,"13,754",102,4,36,Finished,"Jul  18, 2002 to Apr  24, 2003","['Action', 'Drama', 'Mystery', 'Sci-Fi']",[],['Seinen'],Young Sunday (Weekly),"Higashino, Keigo (Story), Mase, Motoro (Art)"
Kyuukyoku Venus (Ultimate Venus),7.41,2190,3611,3103,"6,395",29,9,43,Finished,"Aug  5, 2006 to Dec  5, 2009","['Drama', 'Romance']",[],['Shoujo'],Princess,"Shigematsu, Takako (Story & Art)"
Mahou Shoujo Lyrical Nanoha A's,7.41,940,3612,8737,"1,998",41,1,7,Finished,"Jun  8, 2005 to Jan  1, 2006",[],[],[],Comic NORA,"Hasegawa, Kouji (Art), Tsuzuki, Masaki (Story)"
Kanon: Honto no Omoi wa Egao no Mukougawa ni,7.41,389,3613,14332,"1,017",9,2,9,Finished,"Jun  29, 2006 to Oct  20, 2007",[],[],[],Dragon Age,"Shimotsuki, Kinusa (Story & Art)"
Kirameki☆Gingachou Shoutengai (The Stellar Six of Gingacho),7.41,196,3614,18981,645,19,10,48,Finished,"Jun  25, 2005 to Feb  27, 2009","['Comedy', 'Slice of Life']",[],['Shoujo'],Hana to Yume,"Fujimoto, Yuuki (Story & Art)"
Kuruizaki no Hana (Demon Flowers),7.41,290,3615,14208,"1,030",36,5,24,Finished,"Nov  26, 2003 to Aug  25, 2006","['Action', 'Fantasy', 'Supernatural']",[],['Shoujo'],Wings,"Hakase, Mizuki (Story & Art)"
Crystal☆Dragon,7.41,202,3616,14697,977,7,Unknown,Unknown,Publishing,"Feb  24, 1981 to ?","['Adventure', 'Drama', 'Fantasy', 'Romance']",[],['Shoujo'],Mystery Bonita,"Ashibe, Yuuho (Story & Art)"
Ikoku Meiro no Croisée,7.41,692,3617,6578,"2,845",25,2,18,Finished,"Jun  29, 2006 to  2011",[],"['Historical', 'Iyashikei']",['Seinen'],Dragon Age,"Takeda, Hinata (Story & Art)"
Momo,7.41,2427,3618,3541,"5,611",54,7,35,Finished,"Aug  2, 2008 to Apr  2, 2011",[],[],['Shoujo'],Ribon Magazine,"Sakai, Mayu (Story & Art)"
Koe de Oshigoto!,7.41,3828,3619,1618,"11,901",154,10,60,Finished,"May  26, 2008 to Apr  26, 2013","['Comedy', 'Romance', 'Ecchi']","['Otaku Culture', 'School', 'Showbiz']",['Seinen'],Comic Gum,"Konno, Azure (Story & Art)"
Ameiro Kouchakan Kandan (Ameiro Kochakan Kandan),7.41,2082,3620,3604,"5,509",81,2,20,Finished,2003 to Nov  2011,"['Comedy', 'Girls Love', 'Slice of Life']",[],[],Comic Yuri Hime,"Fujieda, Miyabi (Story & Art)"
Idol Shopping,7.41,2580,3621,4079,"4,844",44,12,Unknown,Finished,Dec  2008 to Feb  2009,"['Comedy', 'Drama', 'Romance']",[],[],None,"Hwang, Mi Ri (Story & Art)"
Baka to Test to Shoukanjuu (Baka & Test: Summon the Beasts),7.41,2162,3622,2448,"8,018",42,15,84,Finished,"Apr  25, 2009 to Jul  26, 2016","['Comedy', 'Romance']","['Love Polygon', 'School']",['Shounen'],Shounen Ace,"Inoue, Kenji (Story), Yumeuta (Art), Mattaku, Mosuke (Art)"
Livingstone,7.41,2238,3623,2072,"9,277",91,4,23,Finished,"Jul  30, 2009 to Feb  5, 2015",[],[],['Seinen'],Morning,"Kataoka, Jinsei (Art), Maekawa, Tomohiro (Story)"
Koneko Hiroimashita,7.41,2443,3662,4113,"4,801",29,1,6,Finished,"Sep  10, 2015 to Nov  19, 2015","['Drama', 'Slice of Life']",[],[],None,Yohachi (Story & Art)
Miira no Kaikata (How to keep a mummy),7.41,572,3663,5461,"3,496",45,Unknown,Unknown,Publishing,"Nov  2, 2014 to ?","['Comedy', 'Slice of Life', 'Supernatural']",[],[],comico,"Utsugi, Kakeru (Story & Art)"
Persona 5,7.41,1852,3664,2495,"7,882",190,Unknown,Unknown,Publishing,"Sep  15, 2016 to ?",[],[],[],Ura Sunday,"Murasaki, Hisato (Story & Art)"
Black Clover: Abareushi no Sho,7.41,324,3665,11223,"1,435",16,1,4,Finished,"Aug  4, 2016","['Action', 'Comedy', 'Fantasy']",[],['Shounen'],None,"Onda, Johnny (Story), Tabata, Yuuki (Art)"
Rewrite:Side-Terra,7.41,106,3666,18061,701,10,4,27,Finished,"Sep  27, 2016 to Jul  30, 2018","['Action', 'Supernatural']",[],[],Dengeki G's Comic,ZEN (Art)
Fukanzen na Hito no Tame ni (For imperfect people),7.41,1279,3667,6565,"2,851",46,2,12,Finished,"Dec  25, 2016 to Nov  18, 2017","['Comedy', 'Drama', 'Romance', 'Slice of Life']",[],[],Gangan pixiv,Higashi 385 (Story & Art)
Sakura Quest,7.41,674,3668,6201,"3,030",8,5,Unknown,Finished,"May  12, 2017 to Oct  11, 2018","['Comedy', 'Slice of Life']","['Adult Cast', 'Workplace']",[],None,"Kohinata, Iroha (Art)"
Kono Subarashii Sekai ni Nichijou wo!,7.41,585,3669,6966,"2,652",11,3,34,Finished,"Sep  27, 2016 to Oct  26, 2019","['Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",['Seinen'],Comic Alive,"Somemiya, Suzume (Story & Art)"
Kyuuketsuki-chan x Kouhai-chan (Vampire & Junior),7.41,1355,3670,5147,"3,733",35,4,24,Finished,"Feb  28, 2017 to Feb  28, 2019",[],"['School', 'Vampire']",[],Dengeki G's Comic,"Yoshioka, Sakaki (Story & Art)"
Chijou Saikyou no Otoko Ryuu,7.41,337,3671,14280,"1,022",27,2,18,Finished,"Dec  8, 1976 to Apr  20, 1977",[],"['Martial Arts', 'Super Power']",['Shounen'],Shounen Magazine (Weekly),"Kaze, Shinobu (Story & Art)"
Yasei no Last Boss ga Arawareta!: Kokuyoku no Haou,7.41,4330,3672,1329,"14,251",182,Unknown,Unknown,Publishing,"Jun  7, 2017 to ?","['Action', 'Adventure', 'Fantasy']",[],[],Comic Earth☆Star,"Hazuki, Tsubasa (Art), Fire Head (Story)"
Xi Xing Ji,7.41,528,3642,7837,"2,300",30,Unknown,Unknown,Publishing,"Jun  11, 2015 to ?","['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",[],u17,"Deng, Zhi Hui (Art), Zheng, Jian He (Story)"
Kobayashi-san Chi no Maid Dragon: Elma no OL Nikki (Miss Kobayashi's Dragon Maid: Elma's Office Lady Diary),7.41,1053,3643,4688,"4,134",53,Unknown,Unknown,Publishing,"Aug  25, 2017 to ?","['Comedy', 'Fantasy', 'Slice of Life']",[],[],Monthly Action,"Kazama, Ayami (Story & Art)"
Kimi ga Kirai na Koi no Hanashi (The Story of Our Unlikely Love),7.41,6046,3644,1463,"13,111",200,2,8,Finished,"Aug  12, 2017 to Mar  13, 2018",[],[],['Shoujo'],Bessatsu Friend,sora (Story & Art)
"Tashiro-kun, Kimi tte Yatsu wa. (Tashiro-kun, Why're You Like This?)",7.41,326,3645,10767,"1,523",21,Unknown,Unknown,Publishing,"Oct  18, 2016 to ?","['Boys Love', 'Comedy']",[],[],B-BOY P!,Yamada (Story & Art)
Citrus: Comic Anthology,7.41,740,3646,9452,"1,809",31,1,17,Finished,"Feb  16, 2018","['Comedy', 'Girls Love', 'Slice of Life']",[],[],None,"Fujieda, Miyabi (Story & Art), Kodama, Naoko (Story & Art), Oosawa, Yayoi (Story & Art), Oomiya, Miyami (Story & Art), Takeshima, Eku (Story & Art), Katakura, Ako (Story & Art), Aoto, Hibiki (Story & Art), Gotou, Yuki (Story & Art), Neji (Story & Art), Ameno (Story & Art), Hisakawa, Haru (Story & Art), Iwami, Kiyoko (Story & Art), Yuino, Chiri (Story & Art), Yukio, Yuki (Story & Art), Kayako (Story & Art), Kiriyama, Haruka (Story & Art)"
Sekai no Owari ni Shiba Inu to (Doomsday with My Dog),7.41,598,3647,5985,"3,145",41,Unknown,Unknown,Publishing,"Mar  28, 2018 to ?","['Adventure', 'Comedy', 'Slice of Life']",[],[],ComicWalker,"Ishihara, Yuu (Story & Art)"
"Around 30 dakedo, Hatsukoi desu. (I'm around thirty and finally in love.)",7.41,5300,3649,1311,"14,422",89,7,61,Finished,"May  22, 2018 to May  21, 2021","['Comedy', 'Romance', 'Slice of Life']",[],[],None,310 (Story & Art)
Slow Loop,7.41,235,3650,11140,"1,448",20,Unknown,Unknown,Publishing,"Apr  24, 2018 to ?",[],"['CGDCT', 'Iyashikei']",[],Manga Time Kirara Forward,"Uchino, Maiko (Story & Art)"
Masamune-kun no Revenge 0 (Masamune-kun's Revenge 0),7.41,2957,3651,3765,"5,266",23,1,7,Finished,"Nov  27, 2014 to Mar  27, 2017","['Comedy', 'Romance']","['Harem', 'School']",['Shounen'],Comic REX,"Tiv (Art), Takeoka, Hazuki (Story)"
Overlord: Boukoku no Kyuuketsuki (Overlord: The Vampire Princess of the Lost Country),7.41,121,3652,26541,337,7,1,6,Finished,"Apr  27, 2019","['Action', 'Fantasy']","['Isekai', 'Video Game']",[],None,"Maruyama, Kugane (Story), so-bin (Art)"
Jishou Akuyaku Reijou na Konyakusha no Kansatsu Kiroku.,7.41,164,3653,22343,478,9,2,Unknown,Finished,"Apr  27, 2017 to Aug  29, 2017","['Comedy', 'Fantasy', 'Romance']",[],[],None,"Shiki (Story), Hachipisuwan (Art)"
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... Zettai Zetsumei! Hametsu Sunzen-hen (My Next Life as a Villainess Side Story: On the Verge of Doom!),7.41,1442,3654,4760,"4,062",30,3,21,Finished,"Nov  1, 2019 to Jul  2, 2021","['Comedy', 'Drama', 'Fantasy', 'Romance']","['Reverse Harem', 'School', 'Villainess']",[],Zero-Sum Online,nishi (Story & Art)
Innsmouth no Kage: Lovecraft Kessakushuu (H.P. Lovecraft's The Shadow Over Innsmouth),7.41,226,3655,15296,919,3,2,11,Finished,"May  12, 2020 to Mar  12, 2021","['Horror', 'Mystery']",[],['Seinen'],Comic Beam,"Lovecraft, H. P. (Story), Tanabe, Gou (Art)"
Boku no Tsuma wa Kanjou ga Nai (My Wife Has No Emotion),7.41,1514,3656,3679,"5,403",90,Unknown,Unknown,Publishing,"Aug  5, 2019 to ?","['Comedy', 'Romance', 'Sci-Fi', 'Slice of Life']",[],['Seinen'],Comic Flapper,"Sugiura, Jiro (Story & Art)"
"Kanojo, Hitomishirimasu (Rent-A-(Really Shy!)-Girlfriend)",7.41,3474,3657,1855,"10,302",201,Unknown,Unknown,Publishing,"Jun  21, 2020 to ?","['Comedy', 'Romance']",[],[],Magazine pocket,"Miyajima, Reiji (Story & Art)"
Honnou Switch (Changes of Heart),7.41,1965,3658,2811,"7,051",44,8,35,Finished,"Jun  1, 2018 to Oct  1, 2021","['Drama', 'Romance']",[],['Josei'],Comic tint,KUJIRA (Story & Art)
SK∞: Chill Out!,7.41,341,3659,12246,"1,277",28,1,26,Finished,"Jan  11, 2021 to Sep  20, 2021","['Comedy', 'Sports']",[],[],Young Ace UP,Toriyasu (Story & Art)
Odd Taxi,7.41,127,3660,10316,"1,618",19,5,37,Finished,"Jan  15, 2021 to Jul  22, 2022",[],[],[],None,"Konomoto, Kazuya (Story), Abaraya, Takeichi (Art)"
Tsurenai Kanojo no Hitorijime,7.41,760,3661,5676,"3,348",34,Unknown,Unknown,Publishing,"Apr  22, 2021 to ?",[],[],[],MangaONE,"Amazato, Sugar (Story & Art)"
Tsumi to Batsu: A Falsified Romance,7.41,1890,3624,3109,"6,381",64,10,93,Finished,"Jan  9, 2007 to Mar  1, 2011",[],[],['Seinen'],Manga Action,"Ochiai, Naoyuki (Story & Art)"
Ratman,7.41,5911,3625,1369,"13,875",167,12,65,Finished,"Jun  26, 2007 to Jun  26, 2013","['Comedy', 'Romance', 'Sci-Fi']","['School', 'Super Power']",['Shounen'],Shounen Ace,"Inui, Sekihiko (Story & Art)"
Utsubora (Utsubora: The Story of a Novelist),7.41,2111,3626,2205,"8,811",111,2,14,Finished,2008 to  2012,"['Drama', 'Mystery']",[],[],Manga Erotics F,"Nakamura, Asumiko (Story & Art)"
Fujimura-kun Mates,7.41,8537,3627,880,"19,992",220,8,97,Finished,"Mar  26, 2009 to Jul  25, 2013","['Comedy', 'Romance']","['Harem', 'School']",[],Gangan Online,"Shiki, Seiichi (Story & Art)"
"Yondemasu yo, Azazel-san.",7.41,592,3628,6724,"2,769",20,16,162,Finished,"Oct  9, 2007 to Dec  21, 2018","['Action', 'Comedy', 'Mystery', 'Supernatural']",[],['Seinen'],Evening,"Yasuhisa, Kubo (Story & Art)"
Toaru Majutsu no Index SP (A Certain Magical Index SP),7.41,786,3629,8173,"2,183",4,1,4,Finished,"Aug  8, 2011","['Action', 'Comedy', 'Supernatural']",[],['Shounen'],None,"Kamachi, Kazuma (Story), Haimura, Kiyotaka (Art)"
"Daisuki Datta yo, Sensei...",7.41,4862,3630,2035,"9,381",31,1,4,Finished,"Mar  26, 2012",[],[],['Shoujo'],Sho-Comi,"Shiraishi, Yuki (Story & Art)"
Freezing Zero,7.41,1847,3631,3569,"5,558",42,9,38,Finished,"Mar  27, 2012 to Sep  4, 2015","['Action', 'Sci-Fi']",[],['Seinen'],Comic Valkyrie,"Im, Dal Young (Story), Jeong, Soo Cheol (Art)"
Peak,7.41,645,3632,5376,"3,554",29,7,45,Finished,"Apr  20, 2011 to Nov  19, 2014","['Action', 'Drama']",[],[],Daum Webtoon,"Hong, Seong-su (Story), Im, Gang-hyeok (Art)"
Miseinen dakedo Kodomo ja Nai (That is not a child but a minor),7.41,1570,3633,4028,"4,919",23,5,36,Finished,"Dec  5, 2012 to Mar  15, 2016",[],[],['Shoujo'],Sho-Comi,"Minami, Kanan (Story & Art)"
Kokoro Button,7.40,1641,3683,2970,"6,694",33,12,60,Finished,"May  13, 2009 to Mar  13, 2014",[],[],['Shoujo'],Betsucomi,"Usami, Maki (Story & Art)"
Kemono no Souja (The Beast Player),7.40,242,3684,12147,"1,287",9,11,66,Finished,"Oct  25, 2008 to Jan  26, 2016","['Adventure', 'Drama', 'Fantasy', 'Slice of Life']",[],['Shounen'],Shounen Sirius,"Uehashi, Nahoko (Story), Takemoto, Itoe (Art)"
GE: Good Ending,7.40,5627,3685,2075,"9,271",172,Unknown,1,Finished,Mar  2009,"['Romance', 'Sports']",[],['Shounen'],Shounen Magazine (Weekly),"Sasuga, Kei (Story & Art)"
38-do Senjou no Kaibutsu,7.40,114,3686,28180,293,2,1,7,Finished,1952 to  1953,[],[],['Shounen'],Shounen Gaho,"Tezuka, Osamu (Story & Art)"
Moon Trick,7.40,168,3687,21533,513,11,Unknown,Unknown,Publishing,"Oct  20, 2010 to ?","['Boys Love', 'Fantasy', 'Supernatural']",[],['Shoujo'],Ichiraci,"Morimoto, Shuu (Story & Art)"
Omamori Himari,7.40,211,3688,15326,917,44,4,25,Finished,"Jul  19, 2008 to Jan  20, 2010","['Action', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'School']",[],Dragon Magazine,"Matra, Milan (Art), Mikazuki, Kougetsu (Story)"
Crows Gaiden,7.40,750,3689,10166,"1,651",8,2,7,Finished,1995 to  1998,"['Action', 'Comedy', 'Drama']",[],[],Shounen Champion (Monthly),"Takahashi, Hiroshi (Story & Art)"
Yajirobee,7.40,2520,3690,2782,"7,131",55,2,11,Finished,"Nov  13, 2010 to Dec  1, 2011","['Drama', 'Slice of Life']",[],['Shoujo'],Bessatsu Margaret,"Yamakawa, Aiji (Story & Art)"
Steins;Gate: Hiyoku Renri no Sweets Honey,7.40,607,3691,7728,"2,339",19,3,18,Finished,"Aug  30, 2011 to Apr  30, 2013","['Adventure', 'Sci-Fi']",[],['Shounen'],Comic Blade,"Nitroplus (Story), Tsutsui, Taishi (Art)"
Chibi Miku-san,7.40,271,3692,15725,879,26,Unknown,Unknown,Publishing,"Jun  5, 2008 to ?","['Comedy', 'Slice of Life']",[],[],None,Minami (Story & Art)
Chocolat no Mahou,7.40,799,3693,7846,"2,298",112,Unknown,Unknown,Publishing,"Sep  3, 2008 to ?","['Award Winning', 'Drama', 'Horror', 'Supernatural']",[],['Shoujo'],Ciao DX,"Rino, Mizuho (Story & Art)"
Westwood Vibrato,7.40,344,3694,13478,"1,109",12,4,44,Finished,"Apr  19, 2010 to Mar  19, 2012",[],[],['Seinen'],Sunday Gene-X,"Yoon, In-Wan (Story), Kim, Sun-hee (Art)"
Shin Kozure Ookami: Lone Wolf (New Lone Wolf & Cub),7.40,320,3695,7181,"2,553",14,11,Unknown,Finished,2003 to  2006,"['Action', 'Adventure']","['Historical', 'Samurai']",[],None,"Koike, Kazuo (Story), Mori, Hideki (Art)"
Time Killers (Time Killers: Kazue Kato Short Story Collection),7.40,3244,3696,2528,"7,780",41,1,11,Finished,Aug  2000 to Sep  2008,"['Action', 'Supernatural']",[],['Shounen'],Jump SQ.,"Katou, Kazue (Story & Art)"
Nakanmon!,7.40,3245,3697,2605,"7,601",26,4,16,Finished,"Nov  24, 2011 to Jun  24, 2013","['Comedy', 'Romance']",[],['Shoujo'],Dessert,"Tsukishima, Haru (Story & Art)"
Romantica Clock,7.40,2264,3698,2216,"8,764",78,10,53,Finished,"Aug  3, 2012 to Apr  2, 2016",[],[],['Shoujo'],Ribon Magazine,"Maki, Youko (Story & Art)"
Eden no Hana (Flower of Eden),7.40,1438,3705,5269,"3,635",42,12,42,Finished,2000 to  2004,"['Drama', 'Romance']",[],['Shoujo'],Bessatsu Friend,"Suetsugu, Yuki (Story & Art)"
Cipher,7.40,593,3706,6629,"2,823",51,12,65,Finished,Jul  1985 to Dec  1990,[],[],['Shoujo'],LaLa,"Narita, Minako (Story & Art)"
